Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Moussaka,1905.0,60.5,26.36,148.1,51.72,11.5,279.0,1636.0
Zuppa di pesce,,,,,,,,
Paella alla valenciana,472.0,51.7,4.7,13.5,3.49,114.0,2.3,513.0
ClubHouse Sandwich,,,,,,,,
Insalata di farro e orzo estiva,403.0,53.3,2.7,14.5,4.13,6.6,11.0,356.0
Paccheri ripieni con salsiccia e funghi,790.0,62.3,7.0,44.6,20.55,7.4,97.0,1027.0
Insalata di pollo e zucchine,221.0,9.4,9.4,9.1,1.48,2.9,60.0,542.0
Parmigiana di patate,,,,,,,,
Hamburger all'italiana,1317.0,92.5,19.0,76.1,21.15,5.7,233.0,1511.0
Ciambella di pane al formaggio,,,,,,,,
Panettone con fichi e mandorle,531.0,63.7,28.0,25.4,11.82,4.6,205.0,233.0
Schiacciatine alle more e gorgonzola,707.0,99.6,23.3,24.4,8.19,4.9,35.0,798.0
Albero pizza,,,,,,,,
Focaccia di grano arso con patate e acciughe,501.0,78.5,1.8,14.9,2.3,3.9,11.0,1702.0
Focaccine con Grana Padano e ragu di bacon e castagne,307.0,38.5,2.2,12.7,3.3,2.9,16.0,508.0
Pane al sidro,207.0,40.2,2.9,0.9,0.19,3.8,0.0,446.0
Panettoncini con mandarino candito e rosmarino,419.0,68.6,38.1,13.2,6.96,2.0,132.0,305.0
Grittibanz elvetici,,,,,,,,
Schiacciatine alle verdure e fiori di zucca ripieni,325.0,38.7,4.7,12.6,4.82,2.5,29.0,553.0
Pan brioche carote e cioccolato,,,,,,,,
Treccia al cavolo nero con scamorza,,,,,,,,
Panini morbidi alle acciughe,,,,,,,,
Nidi lievitati di Pasqua,,,,,,,,
Fougasse,653.0,115.0,2.6,11.6,1.77,4.3,0.0,1957.0
Ciaccia coi friccioli,1204.0,98.5,3.1,80.2,25.36,3.1,101.0,112.0
Panini integrali con pinoli,,,,,,,,
Pan brioche salato con rucola e patate,,,,,,,,
Grissini al cioccolato,,,,,,,,
Treccine fritte alla ricotta,,,,,,,,
Panini alle cime di rapa,253.0,49.6,2.1,2.9,0.46,1.6,0.0,737.0
Colomba veloce ai frutti rossi,793.0,92.0,48.2,39.6,15.42,6.1,150.0,82.0
Ciambella alla frutta,843.0,154.2,71.6,15.4,7.84,10.0,171.0,107.0
Coniglietti di pan brioche,,,,,,,,
Maritozzi alla cannella e mascarpone,,,,,,,,
Pane al topinambur,,,,,,,,
Focaccine al rosmarino e guanciale,,,,,,,,
Panettone farcito,765.0,105.2,65.2,32.3,17.28,4.3,325.0,85.0
Pane al timo con lievito madre,,,,,,,,
Colomba salata,355.0,31.6,6.0,18.4,8.53,68.0,3.4,661.0
Panettone amarene e cioccolato,,,,,,,,
Focaccia di grano arso ripiena,831.0,105.0,7.5,30.7,11.44,5.8,45.0,1946.0
Pangiallo romano,,,,,,,,
Pane ripieno di lardo e fichi,429.0,35.9,6.3,29.3,8.95,2.1,24.0,264.0
Focaccia dolce con mele pinoli e cioccolato,,,,,,,,
Pizza mare orto,1831.0,197.4,16.5,74.8,30.11,10.7,211.0,3643.0
Pane al pate di olive,242.0,30.8,0.7,10.5,1.5,2.4,0.0,353.0
Pandoro al latte condensato e gocce di cioccolato,645.0,76.3,47.2,31.2,16.78,1.2,274.0,102.0
Pane con le barbabietole,336.0,68.9,2.8,2.3,0.38,3.0,0.0,686.0
Rizzuole con ragu besciamella e piselli,568.0,52.3,8.6,32.9,8.83,2.7,76.0,436.0
Roselline di pan brioche,192.0,28.8,9.6,6.6,3.5,0.8,74.0,277.0
Panzerotti ai broccoli e acciughe,405.0,39.7,4.1,23.0,4.2,2.1,8.0,351.0
Treccia ai 4 formaggi,450.0,54.0,10.8,18.7,9.99,2.1,106.0,454.0
Pane pasquale dolce,,,,,,,,
Panini tricolore,248.0,45.2,1.4,4.4,0.68,1.7,0.0,660.0
Pizza con pomodorini gialli acciughe e capperi,,,,,,,,
Schiacciata integrale con asparagi e Grana,,,,,,,,
Pane alle carote,597.0,105.2,7.8,13.4,2.14,7.6,0.0,1144.0
Panini dolci alla mandorla,92.0,14.0,1.8,2.9,1.13,0.7,12.0,98.0
Pane di San Petronio,,,,,,,,
Focaccia della befana,,,,,,,,
Pane e salame,409.0,31.8,1.5,22.0,6.18,1.6,70.0,951.0
Lahuh (pane Yemenita),158.0,34.1,1.5,0.3,0.06,1.1,0.0,491.0
Roscon de Reyes (ciambella dei Re Magi),,,,,,,,
Nodini di brioche all'uvetta,358.0,52.3,19.0,13.4,7.5,2.0,64.0,100.0
Cornbread,786.0,70.0,4.8,49.4,27.25,2.2,285.0,778.0
Corona pasquale al cacao,322.0,57.9,21.3,6.6,3.55,2.2,35.0,48.0
Pan brioche morbido alle patate,,,,,,,,
Focaccine senza glutine,,,,,,,,
Focaccia al miglio,,,,,,,,
Pane alle noci senza glutine,422.0,59.9,1.3,16.7,1.44,2.3,1.0,13.0
Panini ai fichi secchi,234.0,46.6,13.5,2.3,0.44,6.9,0.0,413.0
Frittelle ricotta e pere,,,,,,,,
Pane intrecciato ripieno,717.0,55.0,4.0,41.4,20.12,4.1,234.0,1133.0
Corona lievitata di albicocche e moscato,397.0,60.4,25.0,13.4,6.64,2.5,110.0,209.0
Chiocciole salate verdure e pancetta,88.0,16.5,1.2,1.5,0.23,0.7,0.0,162.0
Ciambelline al forno con milkshake,246.0,31.6,8.1,10.1,5.18,1.6,121.0,155.0
Thepla,,,,,,,,
Pizza in teglia con lievito madre,,,,,,,,
Panini alle nocciole,349.0,37.5,1.6,17.7,1.44,3.9,30.0,339.0
Strudel di pasta di pane con verdure e robiola,335.0,46.0,14.5,10.6,4.46,6.2,48.0,637.0
Cornetti integrali al miele,,,,,,,,
Grissini tricolore,39.0,6.3,0.3,1.0,0.15,0.3,0.0,49.0
Pane di Babbo Natale,,,,,,,,
Viennoise au chocolat,810.0,100.8,34.4,37.2,21.26,3.0,117.0,367.0
Focaccia di patate con burrata e fiori di zucca,,,,,,,,
Pan brioche al farro,435.0,51.1,4.4,20.7,10.71,1.5,158.0,187.0
Pane tricolore,299.0,40.1,1.3,11.8,6.48,1.7,65.0,353.0
Bocconcini di pane alle carote,,,,,,,,
Krapfen salati con patate e Emmentaler,208.0,21.2,0.6,11.4,2.16,0.9,14.0,185.0
Schiacciata di patate,,,,,,,,
Pane con lievito madre e semi di zucca,,,,,,,,
Danubio veloce di Natale,,,,,,,,
Colomba al cioccolato,546.0,67.1,36.9,26.2,13.71,2.5,73.0,422.0
Bombe fritte salate,,,,,,,,
Bannock,694.0,28.9,1.1,61.9,15.44,4.2,26.0,517.0
Rotolo ai semi di papavero mandorle e marzapane,408.0,45.8,17.2,18.9,4.15,8.0,88.0,199.0
Monkey bread,457.0,81.7,47.0,11.1,6.11,1.8,77.0,114.0
Focaccine di patate alla birra,127.0,22.4,1.4,2.5,0.38,1.3,0.0,250.0
Grissini al Grana Padano,,,,,,,,
Pane esse,457.0,83.9,1.8,7.6,2.22,2.9,4.0,494.0
Jerusalem bagel,691.0,109.6,27.4,18.8,3.85,3.2,50.0,447.0
Pizza dolce con confettura di fragole,252.0,50.1,27.9,3.1,1.55,2.1,8.0,170.0
Stollen,,,,,,,,
‘Mpanate ripiene di caponata,668.0,111.8,17.1,15.7,2.36,10.1,0.0,1209.0
Treccine con noci e cioccolato,,,,,,,,
Angioletti fritti con rucola e pomodorini,,,,,,,,
Pizza in teglia senza glutine,,,,,,,,
Pizzette veloci,,,,,,,,
Ghirlanda di pane,226.0,48.4,1.1,0.5,0.12,1.8,0.0,493.0
Focaccine al basilico,,,,,,,,
Focaccia di grano arso ai pomodorini,448.0,73.1,3.4,12.8,1.94,4.2,0.0,1653.0
Pizza pere e brie,1433.0,202.3,14.6,45.6,19.77,11.7,86.0,2492.0
Pizza a portafoglio con salame,1428.0,153.8,13.1,61.1,24.7,9.3,115.0,4370.0
Pane alla birra,282.0,54.4,1.7,1.0,0.17,3.7,0.0,636.0
Pane con lievito madre,,,,,,,,
Bocche di lupo alla crema,,,,,,,,
Naan all'aglio,312.0,52.1,2.0,7.9,1.4,2.5,1.0,664.0
Lemon rolls,,,,,,,,
Schiacciatine con bresaola e rucola,,,,,,,,
Briochine allo yogurt con gocce di cioccolato,636.0,91.1,29.1,22.3,7.11,4.3,174.0,457.0
'Nfigghiulate,1034.0,65.5,2.6,72.7,22.01,3.6,63.0,1370.0
Puccia salentina alle olive,351.0,53.0,2.3,10.9,2.67,2.8,6.0,698.0
Panini dolci con frutta,,,,,,,,
Bombette di pizza alle melanzane,,,,,,,,
Cornetti senza burro,,,,,,,,
Pizza crudaiola,1871.0,202.1,14.2,83.0,33.78,13.2,115.0,2823.0
Pan brioche ai semi di lino,314.0,56.0,5.9,5.4,2.35,3.1,43.0,266.0
Ciambelline ricotta e cioccolato,,,,,,,,
Focaccia integrale con lievito madre,,,,,,,,
Focaccine ai fiocchi d'avena,266.0,32.7,1.9,12.8,2.07,1.1,1.0,404.0
Pandoro con lievito madre,,,,,,,,
Ghirlanda dolce,,,,,,,,
Challah,312.0,48.6,10.3,8.8,1.9,1.6,132.0,498.0
Danubio dolce al Nesquik,,,,,,,,
Treccia al pesto,457.0,68.4,2.4,14.5,2.89,3.4,5.0,363.0
Focaccia con alici fiori di zucca e burrata,829.0,104.2,4.6,32.8,11.96,4.6,47.0,1564.0
Focaccia dolce alle pesche e albicocche,381.0,65.3,15.3,8.8,1.31,2.7,0.0,396.0
Torta delle rose alle mele,,,,,,,,
Pane armeno,482.0,48.3,1.0,27.2,3.95,1.7,0.0,656.0
Girelle alla sardella,122.0,18.4,0.5,4.0,0.76,0.7,1.0,199.0
Cinnamon pull apart bread,,,,,,,,
Focaccia ripiena pizzicata,317.0,25.9,2.9,16.3,6.26,0.8,778.0,676.0
Pan brioche salato,287.0,26.6,2.7,17.1,9.34,0.8,153.0,524.0
Treccia salata,,,,,,,,
Schiacciatina con pomodori e ricotta,381.0,60.7,5.3,8.2,3.87,3.1,25.0,696.0
Focaccia allo yogurt,,,,,,,,
Hot cross buns,,,,,,,,
Pissaladiere,295.0,37.7,12.4,9.2,1.52,2.2,49.0,1915.0
Focaccia al crudo e fichi,512.0,64.9,9.4,21.0,7.38,3.3,37.0,1218.0
Ciaccia con l'uva,375.0,65.5,18.2,8.8,1.36,3.7,0.0,11.0
Grissini ritorti,37.0,7.0,0.3,0.5,0.08,0.3,0.0,54.0
Pizza rustica,413.0,53.8,6.2,13.9,4.45,3.7,62.0,649.0
Grissini con lievito madre,,,,,,,,
Calzone di sponsali,234.0,41.1,7.7,4.0,0.62,5.0,4.0,472.0
Pinza triestina,1789.0,241.1,93.4,75.3,39.25,8.7,940.0,471.0
Ciabatta non impastata,334.0,64.1,2.0,4.7,0.72,2.0,0.0,739.0
Pizza con mortadella e bufala,1447.0,193.9,6.3,51.0,11.52,9.4,91.0,2818.0
Focaccia di semola con lievito madre,,,,,,,,
Cinnamon roll alle mele,,,,,,,,
Cinnamon rolls con lievito madre,,,,,,,,
Pane con lievito istantaneo,,,,,,,,
Kranz,,,,,,,,
Focaccia di farro,439.0,66.1,0.8,15.7,2.26,9.0,0.0,987.0
Crescente bolognese,,,,,,,,
Grissini cacio e pepe,56.0,9.6,0.3,1.2,0.34,0.4,1.0,82.0
Pizza mascarpone speck e noci,,,,,,,,
Torta salata di rose,472.0,55.8,5.1,18.6,6.27,2.8,42.0,1391.0
Ciambelle salate saporite,619.0,90.0,18.4,21.2,5.12,5.0,19.0,649.0
Panini alla birra,287.0,52.2,1.8,3.3,0.44,3.7,0.0,792.0
Treccia integrale,213.0,36.0,1.2,4.3,0.47,3.6,0.0,498.0
Wool roll bread,,,,,,,,
Merendine di pasta brioche al cioccolato,297.0,50.2,18.3,7.9,4.46,1.5,124.0,22.0
Focaccia ripiena di cavolo e speck,,,,,,,,
Pizza e mortazza,522.0,60.4,3.0,23.9,6.1,2.7,35.0,1235.0
Pirozhki,428.0,62.3,6.2,12.1,4.87,2.6,181.0,746.0
Pan di ramerino,,,,,,,,
Focaccia tuttigusti,667.0,57.1,6.1,32.7,14.26,3.5,93.0,1464.0
Pane con farina tipo 1,,,,,,,,
Brioches allo yogurt senza uova,114.0,18.5,4.2,3.0,1.67,0.5,7.0,127.0
Panini dolci al latte di cocco,,,,,,,,
Pane in cassetta integrale,310.0,49.1,2.7,8.4,4.35,4.4,21.0,503.0
Focaccia rustichella con salame e formaggio,,,,,,,,
Cartocci di pizza,569.0,56.4,5.2,27.5,9.44,3.0,46.0,983.0
New England hot dog buns,444.0,73.3,9.6,11.6,6.15,2.1,106.0,488.0
Pane di campagna,,,,,,,,
Panini alla curcuma,221.0,36.4,6.0,5.8,2.78,1.5,13.0,279.0
Rotolo di pizza farcito,432.0,51.4,3.1,16.5,6.4,2.1,33.0,734.0
Cuddrurieddri calabresi,,,,,,,,
Pan brioche al cioccolato,,,,,,,,
Pan Mattino,,,,,,,,
Baba rustico,,,,,,,,
Soda bread,194.0,35.1,3.2,2.5,1.22,2.9,6.0,585.0
Ciambella salata ai formaggi e pancetta,631.0,47.5,2.5,37.8,19.15,1.8,221.0,510.0
Pizza bianca romana,357.0,59.9,2.3,9.1,1.38,2.7,0.0,658.0
Baba' salato,,,,,,,,
Focaccia con capperi rosmarino e olive taggiasche,,,,,,,,
Ciambelline di Carnevale,291.0,37.1,14.3,13.4,3.87,1.1,74.0,65.0
Pizza marinara,1083.0,198.4,12.2,18.2,2.94,13.0,0.0,1963.0
Pane injera,114.0,24.1,0.5,0.5,0.09,1.3,0.0,2.0
Pizza con lievito madre,706.0,80.6,5.7,27.2,12.59,4.4,46.0,1679.0
Bomboloni al forno,263.0,43.6,5.5,6.2,3.01,1.3,109.0,260.0
Focaccine integrali in padella,325.0,34.8,5.1,15.4,4.12,3.6,21.0,595.0
Spianata romagnola,250.0,42.4,1.2,5.9,0.89,1.6,0.0,546.0
Focaccia senza glutine,314.0,50.4,0.6,10.7,1.61,1.1,0.0,1115.0
Pane ai semi di lino,343.0,56.8,1.8,7.8,1.15,10.3,0.0,660.0
Focaccia con zucchine,,,,,,,,
Focaccia arrotolata,383.0,59.9,2.2,11.2,1.66,2.7,0.0,664.0
Ravazzate siciliane,,,,,,,,
Panini con lievito madre,,,,,,,,
Tarte Tropezienne,515.0,67.3,36.3,21.4,10.97,1.1,309.0,275.0
Torta Fiore,579.0,78.1,36.3,23.5,9.16,2.2,73.0,53.0
Pizza di semola,1556.0,193.7,9.4,53.0,22.85,10.5,110.0,5802.0
Mafalde siciliane,220.0,45.5,1.1,1.1,0.19,2.1,0.0,400.0
Ciambelle pizza,361.0,54.0,3.0,9.8,4.35,2.5,15.0,203.0
Pan brioche alla zucca,338.0,62.7,21.0,5.5,2.68,2.3,69.0,264.0
Savarin,,,,,,,,
Arepas venezuelane,,,,,,,,
Cartocci siciliani fritti,757.0,68.7,34.1,49.0,10.87,1.3,46.0,336.0
Filoncini alle olive,337.0,62.9,1.6,4.9,0.75,3.3,0.0,752.0
Croissant salati,381.0,29.8,3.1,19.3,9.44,10.7,64.0,306.0
Treccia alla Nutella,333.0,42.9,20.0,14.6,4.83,1.3,36.0,130.0
Panini all'olio,,,,,,,,
Treccine con lievito madre,,,,,,,,
Cornetti con lievito madre,,,,,,,,
Panuozzo napoletano,,,,,,,,
Colomba di Pasqua veloce,,,,,,,,
Pane in cassetta,293.0,48.4,1.2,7.8,3.49,2.2,16.0,398.0
Ciambella pizza alta e soffice,312.0,47.6,2.4,8.7,2.64,2.2,7.0,525.0
Panini delle feste,525.0,66.1,2.2,21.3,5.53,3.3,8.0,1296.0
Donuts con Nutella®,,,,,,,,
Chapati,210.0,32.9,0.0,40.6,0.0,9.7,0.0,195.0
Baguette con lievito madre,485.0,103.0,2.4,1.2,0.26,4.4,0.0,1053.0
Danubio vegetariano,,,,,,,,
Croissant bicolore,412.0,54.6,15.1,18.2,10.48,2.1,51.0,346.0
Filoncini morbidi,,,,,,,,
Iris,551.0,66.4,18.8,26.2,8.48,1.7,80.0,183.0
Focaccia Veneta,426.0,65.1,21.2,13.3,7.13,2.4,116.0,535.0
Focaccia integrale,391.0,64.2,3.4,9.7,1.51,5.5,0.0,1965.0
Veneziane alla crema,388.0,49.6,19.2,16.9,9.0,1.6,180.0,200.0
Pane alla zucca,363.0,68.3,3.5,5.3,0.81,2.8,0.0,660.0
Girelle di pan brioche,,,,,,,,
Pretzel buns,177.0,33.2,0.7,2.5,1.2,1.1,30.0,503.0
Pane alle noci,403.0,61.6,1.7,12.3,1.17,9.2,0.0,663.0
Focaccia con cipolle e stracchino,,,,,,,,
Khachapuri,,,,,,,,
Panini di ricotta sardi,305.0,50.6,3.2,6.1,3.75,2.0,28.0,735.0
Pizza arrotolata (pizza Stromboli),492.0,51.4,3.8,21.6,7.43,2.8,44.0,716.0
Bombe fritte ,537.0,57.2,9.6,30.7,9.33,1.7,35.0,18.0
Danubio alla Nutella,,,,,,,,
Sardenaira,534.0,69.6,6.1,22.7,3.37,4.1,10.0,1086.0
Puccia salentina,253.0,43.0,1.1,6.1,0.93,2.0,0.0,330.0
Torta delle rose,337.0,39.7,20.8,16.6,7.14,2.3,83.0,180.0
Polacca aversana,350.0,58.5,31.1,9.2,4.22,1.2,200.0,129.0
Colomba di Pasqua,,,,,,,,
Cracker,50.0,6.7,0.2,2.1,0.31,0.2,0.0,68.0
Danubio tricolore,,,,,,,,
Pan brioche alla Nutella,,,,,,,,
Scaccia,1692.0,196.4,12.3,7.8,23.89,11.6,88.0,2987.0
Panettone con lievito di birra,,,,,,,,
Schiacciata,,,,,,,,
Pane alle olive,205.0,33.0,1.1,5.2,0.78,2.0,0.0,476.0
Focaccia con cipolle rosse e tonno,461.0,65.7,5.3,13.4,2.16,2.7,23.0,2086.0
Pizza alla napoletana,1173.0,198.8,11.2,25.5,4.05,12.2,24.0,4232.0
Panini integrali,140.0,24.9,0.6,2.2,0.32,2.5,0.0,361.0
Pandoro,472.0,59.0,21.7,21.2,11.46,1.6,191.0,44.0
Lievito madre liquido,167.0,33.3,2.1,1.1,0.23,3.7,0.0,3.0
Pane azzimo,250.0,53.8,1.2,0.5,0.11,1.7,0.0,3.0
Ciambelle salate veloci,400.0,51.4,3.8,13.3,5.42,2.8,36.0,555.0
Pizza Romana,1582.0,199.8,11.9,55.8,21.9,12.0,95.0,4218.0
Fette biscottate,218.0,25.4,2.4,10.2,5.56,0.8,84.0,229.0
Pane di segale,191.0,40.3,0.3,0.9,0.12,4.9,0.0,430.0
Ciambella rustica salata (tortano),730.0,48.2,2.3,44.0,20.06,1.6,109.0,1023.0
Pizza con lievito istantaneo,548.0,80.0,3.8,15.7,5.18,4.0,28.0,2317.0
Danubio di patate,112.0,17.2,0.4,3.1,0.81,0.8,28.0,137.0
Maritozzi,346.0,55.7,27.7,10.3,2.1,1.2,37.0,212.0
Pettole,598.0,64.6,1.4,33.7,5.09,2.1,0.0,524.0
Buchteln (dolcetti di pasta lievitata),440.0,80.2,29.4,8.5,4.44,2.1,87.0,178.0
Focaccine in padella,,,,,,,,
Crescia al formaggio,484.0,50.2,3.3,21.8,8.5,2.3,164.0,880.0
Frittelle Luna-Park,,,,,,,,
Angelica alle zucchine,764.0,78.8,7.4,38.6,15.06,6.2,66.0,1313.0
Ciambelle soffici al forno,86.0,13.2,4.2,2.7,1.17,0.5,19.0,30.0
Pane ai cereali,219.0,36.6,1.3,4.2,0.47,7.3,0.0,545.0
Maritozzi golosi,176.0,21.5,6.5,8.1,2.82,1.1,30.0,175.0
Bagel,245.0,46.7,1.3,3.1,0.48,2.1,0.0,395.0
Pane pugliese,220.0,47.5,1.9,0.4,0.09,1.7,0.0,396.0
Panini con gocce di cioccolato,525.0,55.8,17.5,29.1,16.36,1.6,173.0,233.0
Pane cafone,216.0,45.9,1.2,0.5,0.12,2.2,0.0,561.0
Focaccine di patate,136.0,24.1,0.8,2.8,0.44,1.3,0.0,118.0
Girelle con gocce di cioccolato - uvetta e crema pasticcera,174.0,30.3,14.6,4.3,2.35,1.2,13.0,125.0
Saccottini,575.0,55.3,19.0,35.7,20.66,1.5,109.0,488.0
Bomboloni,,,,,,,,
Krapfen,223.0,22.0,8.0,13.4,4.35,0.6,63.0,88.0
Panettone,434.0,70.2,49.5,14.2,7.38,2.7,165.0,95.0
Torta angelica,489.0,67.1,31.0,20.3,11.27,1.5,124.0,214.0
Fiocchi di neve,132.0,21.5,8.0,3.6,2.0,0.5,20.0,72.0
Ciabatta,196.0,40.8,1.0,0.5,0.11,1.5,0.0,500.0
Focaccia di patate,185.0,29.5,1.0,5.1,0.77,1.5,0.0,494.0
Friselle,262.0,45.9,1.2,5.7,0.86,1.9,0.0,531.0
Pizza in teglia alta e morbida,,,,,,,,
Panini napoletani,421.0,40.2,2.2,19.8,7.758,1.3,173.0,854.0
Pane facile fatto in casa,408.0,88.1,3.7,0.8,0.18,2.8,0.0,1309.0
Treccia di pasta lievitata,,,,,,,,
Focaccine morbide,333.0,40.9,2.3,16.1,2.59,1.4,2.0,505.0
Sfincione palermitano,612.0,74.1,7.9,25.1,7.52,3.7,35.0,1281.0
Pita,252.0,45.8,1.1,4.3,0.66,1.6,0.0,591.0
Panini cinesi al vapore (mantou),,,,,,,,
Pizza fritta,1848.0,90.2,7.2,149.7,30.03,3.7,76.0,1688.0
Pizza a lunga lievitazione,1188.0,142.6,9.8,48.3,17.86,8.1,58.0,2634.0
Pan brioche,,,,,,,,
Pane di semola,265.0,56.8,1.4,0.4,0.1,2.6,0.0,831.0
Pinsa romana,632.0,129.3,3.2,4.2,0.68,6.0,0.0,1331.0
Burger buns (panini da burger),199.0,32.4,2.2,5.3,1.73,1.0,20.0,333.0
Brioche,,,,,,,,
Focaccia barese,334.0,52.7,2.7,9.4,1.41,3.9,0.0,664.0
Parigina,442.0,43.3,3.1,21.6,9.19,2.2,57.0,888.0
Danubio dolce,309.0,53.2,15.6,5.8,2.56,1.3,129.0,432.0
Graffe,361.0,37.3,14.3,21.4,6.43,1.0,37.0,169.0
Bretzel,,,,,,,,
Pane integrale,215.0,38.6,1.2,3.8,0.63,5.4,0.0,444.0
Baba' al rum,301.0,42.5,26.6,8.9,4.68,0.6,108.0,190.0
Lievito madre,227.0,48.2,8.8,0.6,0.13,2.2,0.0,6.0
Pizza con farina integrale,313.0,47.4,3.4,9.0,2.73,4.7,7.0,524.0
Brioche col tuppo,695.0,65.1,12.6,42.1,23.47,1.8,298.0,805.0
Tartare di scampi ,239.0,10.5,10.5,7.6,1.12,2.2,336.0,625.0
Cestini di patate con zucchine e formaggio,80.0,4.0,0.5,5.5,3.12,0.6,19.0,154.0
Mini cornetti di sfoglia alla crema di salmone e formaggio fresco,,,,,,,,
Sushi all'italiana,93.0,18.3,2.8,1.0,0.24,0.4,2.0,116.0
Brandacujun,,,,,,,,
Uova primavera,192.0,1.6,1.2,15.5,7.95,0.8,260.0,588.0
Involtini di pasta fillo con gamberi e spinaci,,,,,,,,
Tortino di patate alla pizzaiola,336.0,29.8,2.6,16.8,7.88,2.8,31.0,365.0
Uova alla diavola,163.0,0.3,0.3,10.8,3.09,0.3,290.0,208.0
Caesar salad di pollo su lattuga baby,482.0,18.4,2.2,34.2,7.14,3.1,188.0,481.0
Alici ammollicate,,,,,,,,
Cestini di patate ripieni di salmone,300.0,8.7,1.1,23.9,10.09,1.3,76.0,1053.0
Bruschette al lardo e rosmarino,620.0,32.8,3.7,51.2,16.86,7.0,47.0,403.0
Capesante gratinate alla provenzale,234.0,14.6,2.0,15.4,3.46,2.4,20.0,692.0
Arancini di riso venere e pesce,840.0,72.3,3.4,50.2,9.99,2.9,184.0,681.0
Involtini di peperoni con cuore di caprino,331.0,6.6,6.4,24.3,13.45,0.9,77.0,1723.0
Spiedini di verdure grigliate,66.0,2.1,2.0,4.7,2.0,1.2,7.0,58.0
Crepe alle zucchine cotto e stracchino,792.0,56.6,8.8,45.3,21.48,3.3,288.0,1100.0
Tramezzino ai tre sapori,,,,,,,,
Crumble di verdure,,,,,,,,
Polpette di miglio alle verdure con crema di fave,159.0,21.8,1.3,6.1,0.92,3.3,0.0,187.0
Scones salati ai piselli e pancetta,,,,,,,,
Bruschette con funghi trifolati,199.0,33.8,1.7,4.3,0.66,3.0,0.0,654.0
Rotolini salati con cuore morbido,535.0,29.2,3.0,38.7,15.2,4.2,73.0,594.0
Frittatine con cavolo nero,202.0,5.4,1.8,14.8,6.84,1.0,196.0,378.0
Bocconcini di pollo in crosta di parmigiano,659.0,19.5,0.7,46.2,9.48,0.9,193.0,562.0
Tatin di fiori di zucca ripieni,647.0,44.5,7.4,41.9,21.73,6.0,169.0,743.0
Cestini con gamberi e avocado,361.0,6.8,2.2,35.2,6.39,1.4,74.0,209.0
Crostata salata patate e gorgonzola,,,,,,,,
Uova ripiene pasquali,273.0,8.4,8.3,18.4,3.73,3.5,234.0,343.0
Schiacciate con crema al basilico,121.0,9.9,2.2,7.0,3.11,0.9,15.0,273.0
Carpaccio di tonno con salsa al frutto della passione,329.0,22.7,4.7,19.5,3.63,6.5,35.0,780.0
Fagottini di asparagi,,,,,,,,
Cozze alla busara,563.0,39.9,3.5,9.5,1.68,4.5,100.0,1426.0
Waffle sandwich,,,,,,,,
Capesante gratinate al burro e Brandy,622.0,40.3,2.3,43.2,19.53,2.4,112.0,761.0
Muffin di patate,178.0,21.1,1.6,6.9,2.58,1.0,63.0,234.0
Finger di bufala e gamberi,82.0,2.2,2.2,5.2,0.88,0.6,58.0,364.0
Roselline di melanzane,,,,,,,,
Frittata al forno ai ceci,419.0,11.5,6.6,31.8,8.48,9.7,391.0,681.0
Frittelle di mais,,,,,,,,
Barchette di melanzane grigliate,353.0,38.9,6.3,19.1,2.78,6.8,0.0,661.0
Canape,,,,,,,,
Tramezzini tzatziki e tonno,273.0,17.7,3.9,15.5,4.58,1.4,36.0,574.0
Torta salata tricolore,440.0,42.7,5.4,24.4,11.07,5.3,149.0,313.0
Vol-au-vent fantasia,166.0,4.3,3.3,11.4,3.97,1.1,96.0,640.0
Caviale di melanzane,79.0,6.8,6.8,4.4,0.65,6.5,0.0,357.0
Pancake salati alle erbe,434.0,28.6,3.6,26.4,10.47,1.9,186.0,1056.0
Ceviche di gamberi,,,,,,,,
Muffin salati senza uova,327.0,18.4,2.5,21.4,8.18,0.7,37.0,509.0
Involtini di zucchine al forno,,,,,,,,
Escargot a la Bourguignonne,703.0,6.7,3.7,0.3,34.07,2.1,188.0,602.0
Cuori di sfoglia salati,591.0,30.5,2.4,43.8,19.77,2.0,138.0,646.0
Insalata capricciosa,583.0,4.8,4.8,58.1,9.49,2.0,71.0,1000.0
Tortilla chips,,,,,,,,
Bombe di patate veloci,475.0,27.1,1.1,36.5,5.81,1.6,42.0,646.0
Bocconcini di rana pescatrice in crosta di mandorle,352.0,13.2,5.1,22.6,2.6,6.1,68.0,435.0
Falafel di fave,88.0,7.1,0.7,5.2,0.99,0.9,0.0,44.0
Mini quiche ai funghi porri e prosciutto,355.0,19.3,2.1,26.5,10.52,2.4,98.0,416.0
Quiche alla zucca e bieta,560.0,35.6,8.8,39.9,19.81,2.9,196.0,484.0
Crostini con pate di funghi Champignon,352.0,36.3,3.0,17.1,5.21,5.9,23.0,898.0
Wurstel in camicia,353.0,27.4,0.6,20.1,5.95,0.9,53.0,894.0
Tortino di alici,251.0,16.4,3.1,11.3,2.71,1.7,69.0,321.0
Mini pasqualine,,,,,,,,
Paccheri fritti,,,,,,,,
Tomino al forno,560.0,30.2,16.7,41.5,12.02,4.4,55.0,1366.0
Involtini di zucchine e gamberi,,,,,,,,
