Nome_Piatto,Calorie_kcal,Carboidrati_g,Zuccheri_g,Grassi_g,Grassi Saturi_g,Fibre_g,Colesterolo_mg,Sodio_mg
Crostata alla Nutella,863.0,81.7,54.4,55.1,25.55,1.7,181.0,40.0
Sachertorte,452.0,51.6,45.4,24.8,14.02,0.9,135.0,188.0
Zucchine ripiene,,,,,,,,
Cheesecake alla Nutella,595.0,44.8,34.9,42.1,19.23,0.9,82.0,236.0
Pan di Spagna,266.0,49.5,27.6,4.2,1.51,0.3,175.0,275.0
Risotto allo Zafferano,626.0,68.1,3.1,32.7,18.94,1.1,100.0,894.0
Pasta frolla,442.0,56.8,20.8,20.9,11.91,1.2,97.0,17.0
Polpette al sugo,492.0,20.7,4.1,34.9,10.0,3.1,120.0,1001.0
Pasta con le melanzane,381.0,68.3,4.5,7.8,1.29,2.9,0.0,301.0
Mini cheesecake,550.0,53.0,32.7,33.6,19.78,0.9,130.0,227.0
Torta caprese,461.0,33.4,30.9,33.3,13.8,2.5,160.0,171.0
Paella de marisco,617.0,95.5,5.4,10.9,2.3,2.6,212.0,900.0
Rotolo alla Nutella,409.0,53.6,45.3,17.9,5.87,1.9,105.0,97.0
Crostata alla frutta,,,,,,,,
Cheesecake al limone,,,,,,,,
Cheesecake ai frutti di bosco,470.0,51.9,38.5,25.3,15.0,4.4,95.0,173.0
Pasta alla gricia,568.0,66.3,2.4,22.2,8.63,2.1,63.0,2879.0
Farinata di ceci,187.0,20.4,1.4,8.1,1.14,5.2,0.0,494.0
Torta di mele,,,,,,,,
Gateau di patate,317.0,15.4,0.8,21.9,7.03,1.3,97.0,537.0
Torta della nonna,613.0,87.8,47.7,23.7,12.58,1.3,178.0,76.0
Sangria,252.0,34.0,34.0,0.4,0.05,5.0,0.0,15.0
Cookies,,,,,,,,
Couscous alle verdure,251.0,37.5,6.7,7.7,1.17,7.4,0.0,496.0
Penne al baffo,517.0,55.0,6.2,25.1,10.94,9.5,63.0,574.0
Pesto di zucchine,390.0,1.2,1.1,39.4,7.82,0.9,15.0,383.0
Muffin con gocce di cioccolato,271.0,34.4,17.5,12.9,7.33,0.7,61.0,119.0
Spaghetti Cacio e Pepe,491.0,66.4,2.5,14.7,8.7,2.3,52.0,1239.0
Crema pasticcera,,,,,,,,
Guacamole,141.0,1.5,1.4,14.1,1.81,1.6,0.0,206.0
Lasagne alla Bolognese,,,,,,,,
Besciamella,368.0,26.3,10.4,25.1,14.6,0.6,75.0,182.0
Chiffon cake,491.0,70.3,42.7,19.1,3.17,1.0,166.0,211.0
Riso alla cantonese,,,,,,,,
Cream tart,463.0,29.8,16.4,34.8,16.16,3.8,86.0,34.0
